Index,Result
1,1.0
2,1.0
3,1.0
4,0.75
5,0.6
6,0.5
7,0.5714285714285714
8,0.5
9,0.4444444444444444
10,0.5
11,0.5454545454545454
12,0.5
13,0.5384615384615384
14,0.5714285714285714
15,0.6
16,0.5625
17,0.5882352941176471
18,0.6111111111111112
19,0.631578947368421
20,0.6
21,0.5714285714285714
22,0.5454545454545454
23,0.5652173913043478
24,0.5416666666666666
25,0.52
26,0.5
27,0.5185185185185185
28,0.5
29,0.4827586206896552
30,0.4666666666666667
31,0.4838709677419355
32,0.5
33,0.48484848484848486
34,0.47058823529411764
35,0.45714285714285713
36,0.4444444444444444
37,0.43243243243243246
38,0.4473684210526316
39,0.4358974358974359
40,0.425
41,0.43902439024390244
42,0.4523809523809524
43,0.46511627906976744
44,0.4772727272727273
45,0.4888888888888889
46,0.4782608695652174
47,0.48936170212765956
48,0.4791666666666667
49,0.46938775510204084
50,0.46
51,0.45098039215686275
52,0.46153846153846156
53,0.4716981132075472
54,0.48148148148148145
55,0.4909090909090909
56,0.48214285714285715
57,0.49122807017543857
58,0.4827586206896552
59,0.4745762711864407
60,0.4666666666666667
61,0.45901639344262296
62,0.46774193548387094
63,0.47619047619047616
64,0.46875
65,0.47692307692307695
66,0.48484848484848486
67,0.4925373134328358
68,0.5
69,0.4927536231884058
70,0.4857142857142857
71,0.49295774647887325
72,0.5
73,0.4931506849315068
74,0.4864864864864865
75,0.49333333333333335
76,0.4868421052631579
77,0.4935064935064935
78,0.5
79,0.5063291139240507
80,0.5125
81,0.5061728395061729
82,0.5
83,0.5060240963855421
84,0.5119047619047619
85,0.5058823529411764
86,0.5
87,0.5057471264367817
88,0.5113636363636364
89,0.5056179775280899
90,0.5111111111111111
91,0.5054945054945055
92,0.5108695652173914
93,0.5161290322580645
94,0.5212765957446809
95,0.5157894736842106
96,0.5104166666666666
97,0.5051546391752577
98,0.5102040816326531
99,0.5050505050505051
100,0.5
101,0.49504950495049505
102,0.5
103,0.5048543689320388
104,0.5
105,0.5047619047619047
106,0.5
107,0.4953271028037383
108,0.49074074074074076
109,0.48623853211009177
110,0.4818181818181818
111,0.4774774774774775
112,0.4732142857142857
113,0.4778761061946903
114,0.4824561403508772
115,0.4782608695652174
116,0.47413793103448276
117,0.4700854700854701
118,0.4661016949152542
119,0.46218487394957986
120,0.4666666666666667
121,0.47107438016528924
122,0.4672131147540984
123,0.4634146341463415
